code,name
837592,华信永道
301299,卓创资讯
301289,国缆检测
300380,安硕信息
300465,高伟达
300773,拉卡拉
300394,天孚通信
301067,显盈科技
688159,有方科技
300675,建科院
301208,中亦科技
300085,银之杰
000627,天茂集团
603828,柯利达
603106,恒银科技
000719,中原传媒
601059,信达证券
000936,华西股份
601136,首创证券
002095,生 意 宝
603383,顶点软件
002400,省广集团
000609,中迪投资
600683,京投发展
002830,名雕股份
600851,海欣股份
600468,百利电气
002084,海鸥住工
301316,慧博云通
300803,指南针
830799,艾融软件
300995,奇德新材
300130,新国都
301362,N民爆
688292,浩瀚深度
300779,惠城环保
688259,创耀科技
688160,步科股份
301159,三维天地
000997,新 大 陆
600446,金证股份
300925,法本信息
600613,神奇制药
002777,久远银海
300663,科蓝软件
300619,金银河
688588,凌志软件
300175,朗源股份
688612,威迈斯
600050,中国联通
301397,溯联股份
000890,法尔胜
002068,黑猫股份
688590,新致软件
300308,中际旭创
002528,英飞拓
002177,御银股份
301349,信德新材
300559,佳发教育
300231,银信科技
300287,飞利信
300417,南华仪器
300377,赢时胜
600363,联创光电
603050,科林电气
300226,上海钢联
002517,恺英网络
603206,嘉环科技
300603,立昂技术
300503,昊志机电
300419,浩丰科技
600699,均胜电子
002236,大华股份
300852,四会富仕
603093,南华期货
688188,柏楚电子
688168,安博通
300413,芒果超媒
873152,天宏锂电
300502,新易盛
301339,通行宝
600629,华建集团
300896,爱美客
688227,品高股份
002376,新北洋
002736,国信证券
002896,中大力德
688326,经纬恒润-W
600595,中孚实业
301072,中捷精工
300682,朗新科技
002649,博彦科技
600571,信雅达
000977,浪潮信息
688518,联赢激光
600239,云南城投
601138,工业富联
600864,哈投股份
002152,广电运通
600085,同仁堂
603119,C浙荣
300212,易华录
601099,太平洋
300348,长亮科技
600105,永鼎股份
688519,南亚新材
688665,四方光电
300386,飞天诚信
002463,沪电股份
301202,朗威股份
600410,华胜天成
301287,康力源
603466,风语筑
688279,峰岹科技
300858,科拓生物
002657,中科金财
002553,南方精工
002104,恒宝股份
300399,天利科技
300333,兆日科技
002961,瑞达期货
002530,金财互联
600705,中航产融
002472,双环传动
600684,珠江股份
300941,创识科技
300766,每日互动
603039,泛微网络
600750,江中药业
603105,芯能科技
300546,雄帝科技
603629,利通电子
003007,直真科技
000752,*ST西发
688322,奥比中光-UW
300242,佳云科技
300368,汇金股份
000971,ST高升
000938,紫光股份
688610,埃科光电
300959,线上线下
002112,三变科技
300732,设研院
603869,新智认知
300611,美力科技
300872,天阳科技
603220,中贝通信
600823,ST世茂
688182,灿勤科技
600601,方正科技
300991,创益通
300098,高新兴
300609,汇纳科技
688201,信安世纪
600602,云赛智联
001338,永顺泰
000032,深桑达Ａ
000948,南天信息
002351,漫步者
688365,光云科技
688390,固德威
688579,山大地纬
688498,源杰科技
836892,广咨国际
300541,先进数通
300674,宇信科技
301309,万得凯
300036,超图软件
603927,中科软
300935,盈建科
300691,联合光电
301085,亚康股份
300738,奥飞数据
300520,科大国创
600766,*ST园城
300597,吉大通信
300193,佳士科技
300751,迈为股份
600633,浙数文化
603000,人民网
300687,赛意信息
688002,睿创微纳
603728,鸣志电器
300442,润泽科技
002694,顾地科技
600155,华创云信
601728,中国电信
430476,海能技术
002316,亚联发展
301153,中科江南
000586,汇源通信
688698,伟创电气
836239,长虹能源
000969,安泰科技
002693,双成药业
002036,联创电子
688066,航天宏图
688158,优刻得-W
300662,科锐国际
301313,凡拓数创
300035,中科电气
300274,阳光电源
688051,佳华科技
002920,德赛西威
300778,新城市
605398,新炬网络
300638,广和通
600501,航天晨光
300018,中元股份
002670,国盛金控
603799,华友钴业
002551,尚荣医疗
300166,东方国信
300061,旗天科技
002599,盛通股份
603767,中马传动
300350,华鹏飞
300895,铜牛信息
872808,曙光数创
873593,鼎智科技
300571,平治信息
002476,宝莫股份
688258,卓易信息
002759,天际股份
603232,格尔软件
002908,德生科技
000034,神州数码
300579,数字认证
301013,利和兴
688031,星环科技-U
002401,中远海科
601528,瑞丰银行
300634,彩讯股份
300964,本川智能
688562,航天软件
600498,烽火通信
002941,新疆交建
688118,普元信息
002787,华源控股
600797,浙大网新
002698,博实股份
002373,千方科技
002987,京北方
301046,能辉科技
000988,华工科技
300250,初灵信息
600927,永安期货
002929,润建股份
688529,豪森股份
300075,数字政通
688316,青云科技-U
300047,天源迪科
600563,法拉电子
002537,海联金汇
601949,中国出版
300096,易联众
000810,创维数字
600577,精达股份
603662,柯力传感
600775,南京熊猫
300378,鼎捷软件
600226,瀚叶股份
002609,捷顺科技
603132,金徽股份
688109,品茗科技
002902,铭普光磁
300344,立方数科
300570,太辰光
300315,掌趣科技
300588,熙菱信息
300058,蓝色光标
300660,江苏雷利
300647,超频三
002174,游族网络
601688,华泰证券
300050,世纪鼎利
300846,首都在线
002423,中粮资本
300277,海联讯
300620,光库科技
300531,优博讯
600941,中国移动
002949,华阳国际
300468,四方精创
300706,阿石创
300288,朗玛信息
002126,银轮股份
300605,恒锋信息
002103,广博股份
603421,鼎信通讯
300989,蕾奥规划
688629,华丰科技
300469,信息发展
601456,国联证券
601019,山东出版
300258,精锻科技
300892,品渥食品
002892,科力尔
300560,中富通
300384,三联虹普
300205,天喻信息
603730,岱美股份
600365,ST通葡
600100,同方股份
300500,启迪设计
002368,太极股份
603583,捷昌驱动
603083,剑桥科技
600791,京能置业
301428,世纪恒通
000408,藏格矿业
688183,生益电子
300369,绿盟科技
002197,证通电子
301236,软通动力
002642,荣联科技
601958,金钼股份
301396,宏景科技
000676,智度股份
603881,数据港
000617,中油资本
688229,博睿数据
003040,楚天龙
002195,二三四五
300781,因赛集团
600584,长电科技
430418,苏轴股份
002292,奥飞娱乐
301070,开勒股份
002184,海得控制
688435,英方软件
300884,狄耐克
000851,高鸿股份
688052,纳芯微
688618,三旺通信
300479,神思电子
603032,德新科技
001227,兰州银行
002945,华林证券
001236,弘业期货
300567,精测电子
600536,中国软件
300454,深信服
300235,方直科技
600643,爱建集团
301255,通力科技
002017,东信和平
603035,常熟汽饰
300248,新开普
300280,紫天科技
300310,宜通世纪
002712,思美传媒
600551,时代出版
300688,创业黑马
603258,电魂网络
603803,瑞斯康达
300229,拓尔思
600306,*ST商城
300921,南凌科技
300448,浩云科技
300079,数码视讯
603019,中科曙光
301330,熵基科技
600986,浙文互联
301248,杰创智能
601519,大智慧
300928,华安鑫创
688003,天准科技
600198,大唐电信
